name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,2021-06-04,164441,3,0.00323,0.759,0.459,0.0,0.0906,-5.187,0.0948,109.997,0.695,4,8,1,spotify:track:2bgTY4UwhfBYhGT4HUYStN,2021
Trivia 轉 : Seesaw,Love Yourself 結 'Answer',BTS,2018-08-24,246334,0,0.181,0.707,0.791,0.0,0.102,-4.481,0.035,106.985,0.678,4,5,0,spotify:track:1ZPpGPko8oULTmi34rozMh,2018
Permission to Dance,Butter / Permission to Dance,BTS,2021-07-09,187585,3,0.00544,0.702,0.741,0.0,0.337,-5.33,0.0427,124.925,0.646,4,9,1,spotify:track:0LThjFY2iTtNdd4wviwVV2,2021
My Universe,My Universe,Coldplay,2021-09-24,228000,81,0.00813,0.588,0.701,0.0,0.2,-6.39,0.0402,104.988,0.443,4,9,1,spotify:track:3FeVmId7tL5YN8B7R3imoM,2021
Dynamite,BE,BTS,2020-11-20,199053,5,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,114.044,0.737,4,6,0,spotify:track:4saklk6nie3yiGePpBwUoc,2020
You (Prod. SUGA of BTS),ANSWER... SHINE,ØMI,2021-10-15,187364,43,0.0374,0.677,0.517,0.0,0.075,-7.382,0.0519,135.893,0.482,4,8,1,spotify:track:4rF72sAKXnQ2t2Q5aZlreW,2021
Daechwita,D-2,Agust D,2020-05-22,225668,1,0.0229,0.65,0.827,0.0,0.121,-4.014,0.0599,144.995,0.223,4,8,1,spotify:track:0H4ugk6rhnXmTl47ayy9O5,2020
eight(Prod.&Feat. SUGA of BTS),eight,IU,2020-05-06,167573,73,0.115,0.676,0.869,0.0,0.132,-1.573,0.0423,120.029,0.594,4,1,1,spotify:track:0pYacDCZuRhcrwGUA5nTBe,2020
Butter (Instrumental),"Butter (Hotter, Sweeter, Cooler)",BTS,2021-06-04,162146,0,0.000178,0.429,0.387,0.802,0.142,-7.486,0.0753,109.893,0.41,4,1,1,spotify:track:2Ol2sv6gePRdJrZC1hDVNY,2021
Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,V,2020-03-13,214258,12,0.495,0.462,0.339,8.15e-06,0.0893,-7.943,0.025,92.106,0.149,4,3,1,spotify:track:39EXZNMxb4RBHlRjnRaOKp,2020
So Far Away,Agust D,Agust D,2016-08-16,358270,0,0.00927,0.485,0.828,0.0,0.325,-4.505,0.112,93.723,0.277,4,11,0,spotify:track:41sIKltzKnhFsDXWTKjO3R,2016
strawberry moon,strawberry moon,IU,2021-10-19,205333,62,0.138,0.475,0.712,0.0,0.0936,-3.306,0.0431,169.796,0.443,4,6,1,spotify:track:2g0LdZQce9xlcHb1mBJyuz,2021
Butter (Hotter Remix),"Butter (Hotter, Sweeter, Cooler)",BTS,2021-06-04,166962,0,0.00223,0.702,0.748,0.0,0.23,-5.215,0.0489,110.028,0.789,4,8,1,spotify:track:5qtVXK2ZRv9tfmvqr2MnBZ,2021
Yours,Jirisan (Original Television Soundtrack) Pt. 4,JIN,2021-11-07,264840,4,0.354,0.488,0.427,0.0,0.0797,-7.383,0.0382,72.035,0.157,4,6,1,spotify:track:10IfXtjKQmOiON7tNAHv0y,2021
People,D-2,Agust D,2020-05-22,197000,0,0.0616,0.76,0.682,0.0,0.118,-6.441,0.0371,120.008,0.372,4,1,1,spotify:track:0SJ7vFES0Lj6pnumh3DhCe,2020
Blueming,Love poem,IU,2019-11-18,217053,68,0.0849,0.819,0.674,0.0,0.0667,-3.145,0.0587,106.032,0.682,4,0,1,spotify:track:4Dr2hJ3EnVh2Aaot6fRwDO,2019
My Universe - SUGA's Remix,My Universe (SUGA's Remix),Coldplay,2021-09-26,188234,56,0.00119,0.558,0.832,0.0,0.0637,-5.904,0.0435,107.043,0.5,4,4,1,spotify:track:6BeOJPXMstvXolxKbL09kR,2021
LOVE SCENARIO,Return,iKON,2018-01-25,209648,73,0.331,0.806,0.707,0.0,0.294,-4.623,0.0307,118.009,0.746,4,7,1,spotify:track:3d3ELsqKlQ7WA0a10Isu3l,2018
Interlude : Set me free,D-2,Agust D,2020-05-22,140198,0,0.0755,0.31,0.416,3.34e-05,0.18,-10.429,0.0346,129.925,0.207,4,5,1,spotify:track:3wS2dXzQw58b1e3AR8YStR,2020
seoul (prod. HONNE),mono.,RM,2018-10-22,275954,0,0.344,0.587,0.664,2.47e-05,0.324,-8.63,0.0645,99.8,0.453,4,0,1,spotify:track:73ipE4lfZ53pvBbJPXkiEK,2018
Life Goes On,BE,BTS,2020-11-20,207481,1,0.00691,0.566,0.716,0.0,0.37,-5.733,0.0424,81.068,0.45,4,1,1,spotify:track:249gnXrbfmV8NG6jTEMSwD,2020
Some,Red Diary Page.1,BOL4,2017-09-28,181373,74,0.417,0.659,0.799,0.0,0.0562,-2.849,0.0629,103.991,0.782,4,1,0,spotify:track:3jsYQw78lrxJA2ysnmOIf9,2017
Moonlight,D-2,Agust D,2020-05-22,163015,0,0.273,0.689,0.729,0.0,0.059,-5.801,0.225,97.057,0.773,4,7,1,spotify:track:5uHrWZqndnheP1qtYr6xGC,2020
moonchild,mono.,RM,2018-10-22,205833,0,0.0254,0.504,0.869,0.0,0.0659,-5.576,0.213,157.992,0.19,4,9,0,spotify:track:5Zlo5ZYjrr6DwQw1kBi5bA,2018
Butter (Sweeter Remix),"Butter (Hotter, Sweeter, Cooler)",BTS,2021-06-04,161934,0,0.0674,0.728,0.551,0.0,0.335,-5.375,0.0577,110.059,0.792,4,5,0,spotify:track:68nqgUs4Wzhje6w4HrSWet,2021
Strawberries & Cigarettes,Strawberries & Cigarettes,Troye Sivan,2018-03-16,201538,81,0.162,0.578,0.537,0.0,0.076,-8.676,0.0832,83.909,0.25,4,9,1,spotify:track:3afkJSKX0EAMsJXTZnDXXJ,2018
What do you think?,D-2,Agust D,2020-05-22,182171,0,0.149,0.739,0.725,0.0,0.0793,-5.741,0.084,118.994,0.136,4,1,1,spotify:track:3i8GllbdGuwIXaVrlIoE0r,2020
Don't (feat. RM),Fragile,eAeon,2021-04-30,205386,63,0.106,0.63,0.596,0.01,0.0983,-7.965,0.0328,106.935,0.275,4,4,0,spotify:track:6KE3Fs6LMzi4hJI3eFqyLC,2021
