name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,key,mode,uri,release_year
People Watching,People Watching,Conan Gray,2021-07-15,158536,66,0.385,0.53,0.593,0.0,0.314,-7.286,0.0545,125.723,0.538,4,5,1,spotify:track:4JeOesjcWWlprTAvucDSJX,2021
Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,2021-04-23,191013,83,0.0215,0.65,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,0.593,4,0,1,spotify:track:37BZB0z9T8Xu7U3e65qxFy,2021
Wrecked,Wrecked,Imagine Dragons,2021-07-02,244004,66,0.148,0.626,0.56,1.51e-05,0.109,-5.82,0.0288,93.989,0.229,4,0,0,spotify:track:2d1MywHy6FwKdzxFuSJnwl,2021
Met Him Last Night (feat. Ariana Grande),Dancing With The Devil…The Art of Starting Over,Demi Lovato,2021-04-02,204631,59,0.22,0.538,0.512,0.0,0.101,-4.548,0.0262,144.978,0.12,4,4,0,spotify:track:0BI0hfbmqybnd3TezrDME3,2021
No Time For Toxic People,Mercury - Act 1,Imagine Dragons,2021-09-03,207870,0,0.00248,0.584,0.742,1.78e-05,0.0813,-5.201,0.0373,75.986,0.585,4,0,1,spotify:track:591rVlNAjjUyA44aq6PzTH,2021
brutal,SOUR,Olivia Rodrigo,2021-05-21,143746,81,0.0311,0.672,0.526,1.37e-06,0.28,-6.446,0.0599,123.999,0.28,4,4,1,spotify:track:6SRsiMl7w1USE4mFqrOhHC,2021
,,Various Artists,0000,0,0,0.524,0.57,0.55,3.73e-05,0.0921,-8.343,0.035,117.999,0.435,4,10,1,spotify:track:6vo7Y1iWyZvpjvFbf6BiZ5,0000
Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,99,0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,0.564,4,9,1,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,2019
Kiss Me More (feat. SZA),Planet Her,Doja Cat,2021-06-25,208666,82,0.259,0.764,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,0.781,4,8,1,spotify:track:3DarAbFujv6eYNliUTyqtz,2021
Overdrive,Overdrive,Conan Gray,2021-02-19,183070,69,0.0101,0.568,0.788,0.0,0.141,-6.28,0.0377,104.959,0.46,4,5,1,spotify:track:3QyoC6OvQUmpQwQZ18iaTs,2021
Levitating,Future Nostalgia,Dua Lipa,2020-03-27,203807,81,0.0561,0.695,0.884,0.0,0.213,-2.278,0.0753,103.014,0.914,4,6,0,spotify:track:39LLxExYz6ewLAcYrzQQyP,2020
good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,86,0.335,0.563,0.664,0.0,0.0849,-5.044,0.154,166.928,0.688,4,9,1,spotify:track:4ZtFanR9U6ndgddUvNcjcG,2021
Follow You,Follow You / Cutthroat,Imagine Dragons,2021-03-12,175643,69,0.00209,0.542,0.732,7.92e-05,0.496,-5.956,0.0521,124.912,0.489,4,9,1,spotify:track:7FdUvDkaE24o3FPIWTvzv2,2021
Teeth,13 Reasons Why (Season 3),5 Seconds of Summer,2019-08-23,204887,72,0.0508,0.756,0.448,3.87e-06,0.11,-2.993,0.0404,139.031,0.431,4,3,0,spotify:track:26wLOs3ZuHJa2Ihhx6QIE6,2019
Run,Run,OneRepublic,2021-05-05,169010,73,0.326,0.682,0.72,0.0,0.148,-8.173,0.0381,117.003,0.673,4,11,0,spotify:track:2UbVnbE5FH6008mAm6Mmgw,2021
Wish You Were Sober,Kid Krow,Conan Gray,2020-03-20,168880,77,0.0178,0.701,0.728,0.0,0.17,-5.226,0.0468,91.071,0.696,4,2,1,spotify:track:0kn2gu8Pd03DiYHzRvX2Xk,2020
favorite crime,SOUR,Olivia Rodrigo,2021-05-21,152666,86,0.866,0.369,0.272,0.0,0.147,-10.497,0.0364,172.929,0.218,4,9,1,spotify:track:5JCoSi02qi3jJeHdZXMmR8,2021
Easier,CALM,5 Seconds of Summer,2020-03-27,158098,70,0.476,0.562,0.46,0.0,0.107,-4.173,0.259,176.055,0.623,4,5,1,spotify:track:2bjUEg4jBtKBlPdNrTAppI,2020
Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,16,0.0469,0.808,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,0.591,4,11,0,spotify:track:6PQ88X9TkUIAUIZJHW2upE,2021
Astronomy,Astronomy,Conan Gray,2021-05-07,243907,69,0.593,0.471,0.335,2.11e-05,0.297,-8.767,0.0273,145.252,0.111,3,4,0,spotify:track:0KmgJyW4GDgonqsoyx0CZ3,2021
Stop And Stare,Dreaming Out Loud,OneRepublic,2007-11-20,223853,63,0.0659,0.492,0.859,0.0,0.0756,-4.274,0.0332,92.474,0.251,4,4,1,spotify:track:0pg4ptWsO9eMH6nEhrM9fD,2007
